"rules","support","confidence","coverage","lift","count","pvalue_test"
"{PPP1R9A_1=1,EPCAM_1=1,OR13C2_1=1,APOBEC1_1_homo=1} => {grading=1}",0.0714285714285714,0.818181818181818,0.0873015873015873,1.6234788833214,18,8.41447447093663e-09
"{PPP1R9A_1=1,C1orf109_1=1,OR13C2_1=1,APOBEC1_1_homo=1} => {grading=1}",0.0674603174603175,0.894736842105263,0.0753968253968254,1.77538334024036,17,2.92668846286905e-12
"{EPCAM_1=1,C1orf109_1=1,OR13C2_1=1,MTHFD1_1_homo=1} => {grading=1}",0.0714285714285714,0.857142857142857,0.0833333333333333,1.7007874015748,18,6.34429105016666e-10
"{FNDC9_1=1,FBXL22_1=1,SLC25A43_1_homo=1,RMI1_1_homo=1} => {grading=0}",0.0277777777777778,1,0.0277777777777778,2.016,7,6.31878750350325e-09
"{FNDC9_1=1,FBXL22_1=1,LSR_1=1,SLC25A43_1_homo=1} => {grading=0}",0.0476190476190476,1,0.0476190476190476,2.016,12,6.31878750350325e-09
"{FBXL22_1=1,LSR_1=1,SLC25A43_1_homo=1,RMI1_1_homo=1} => {grading=0}",0.0357142857142857,0.818181818181818,0.0436507936507936,1.64945454545455,9,6.31878750350325e-09
"{FBXL22_1=1,LSR_1=1,IGFBP2_1=1,SLC25A43_1_homo=1} => {grading=0}",0.0555555555555556,0.823529411764706,0.0674603174603175,1.66023529411765,14,6.31878750350325e-09
"{FBXL22_1=1,RNF149_1=1,ALCAM_2=1,POLI_1_homo=1} => {grading=0}",0.0317460317460317,0.888888888888889,0.0357142857142857,1.792,8,6.31878750350325e-09
"{FBXL22_1=1,LSR_1=1,ALCAM_2=1,POLI_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{FBXL22_1=1,ALCAM_2=1,CFHR4_1_homo=1,TXNRD1_1_homo=1} => {grading=0}",0.0277777777777778,0.875,0.0317460317460317,1.764,7,6.31878750350325e-09
"{FBXL22_1=1,LSR_1=1,IGFBP2_1=1,ALCAM_2=1} => {grading=0}",0.0317460317460317,0.888888888888889,0.0357142857142857,1.792,8,6.31878750350325e-09
"{FBXL22_1=1,IGFBP2_1=1,SLC24A3_1=1,ALCAM_2=1} => {grading=0}",0.0277777777777778,0.875,0.0317460317460317,1.764,7,6.31878750350325e-09
"{FNDC9_1=1,FBXL22_1=1,RNF149_1=1,TXNRD1_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{FNDC9_1=1,FBXL22_1=1,LSR_1=1,RNF149_1=1} => {grading=0}",0.0357142857142857,0.818181818181818,0.0436507936507936,1.64945454545455,9,6.31878750350325e-09
"{FNDC9_1=1,FBXL22_1=1,LSR_1=1,POLI_1_homo=1} => {grading=0}",0.0476190476190476,0.923076923076923,0.0515873015873016,1.86092307692308,12,6.31878750350325e-09
"{PDE11A_2=1,FNDC9_1=1,FBXL22_1=1,CFHR4_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{FNDC9_1=1,FBXL22_1=1,LSR_1=1,IGFBP2_1=1} => {grading=0}",0.0396825396825397,0.833333333333333,0.0476190476190476,1.68,10,6.31878750350325e-09
"{FNDC9_1=1,FBXL22_1=1,IGFBP2_1=1,APOBEC1_1_homo=1} => {grading=0}",0.0436507936507936,0.846153846153846,0.0515873015873016,1.70584615384615,11,6.31878750350325e-09
